"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
780,"The Jimi Hendrix Experience","The Wind Cries Mary",1967,7,"top40",684.3,355.07
781,"The Beatles","Something",1969,0,"",719.22,175.13
782,"Bob Dylan","Knocking On Heaven's Door",1973,11,"tip",854.79,317.18
783,"Anita Meyer","Why Tell Me Why",1981,1,"top40",1036.73,198.51
784,"Bryan Adams","(Everything I Do) I Do It For You",1991,1,"top40",1261.61,355.54
785,"Alice Cooper","School's Out",1972,6,"top40",806.63,330.52
786,"Split Enz","Message To My Girl",1984,13,"top40",1110.24,279.65
787,"Iron Butterfly","In-A-Gadda-Da-Vida",1970,9,"top40",749.61,383.46
788,"The Beatles","Michelle",1966,1,"top40",645.25,149.54
789,"Fish","A Gentleman's Excuse Me",1990,34,"top40",1255.95,199.85
790,"Aretha Franklin","Respect",1967,11,"top40",660.43,263
791,"Neil Diamond","Beautiful Noise",1976,4,"top40",897.54,221.07
792,"The Clash","London Calling",1979,0,"",984.44,109.82
793,"Ben E. King","Stand By Me",1987,7,"top40",1188.43,303.31
794,"Fleetwood Mac","Everywhere",1988,3,"top40",1211.95,342.23
795,"Gilbert O'Sullivan","Nothing Rhymed",1971,1,"top40",781.64,198.75
796,"Skunk Anansie","Weak",1995,35,"top40",1377.35,224.25
797,"Radiohead","No Surprises",1997,14,"tip",1421.03,169.4
798,"The Beatles","Fool On The Hill",1967,0,"",674.52,318.19
799,"The Police","Every Little Thing She Does Is Magic",1981,1,"top40",1045.26,192.19
800,"Stef Bos","Is Dit Nu Later",1990,0,"",1256.92,324.86
801,"The Fray","How To Save A Life",2007,20,"top40",1663.57,223.79
802,"Queen","You're My Best Friend",1976,9,"top40",897.38,306.73
803,"Led Zeppelin","Immigrant Song",1971,11,"top40",775.96,382.48
804,"Madonna","Like A Prayer",1989,2,"top40",1210,218.55
805,"Barry Ryan","Eloise",1968,1,"top40",710.39,355.57
806,"4 Non Blondes","What's Up",1993,1,"top40",1325.68,228.82
807,"Lisa Lois","Hallelujah",2009,1,"top40",1729.56,290.17
808,"Madonna","Frozen",1998,2,"top40",1455.27,320.97
809,"Melissa Etheridge","Like The Way I Do",1989,20,"top40",1215.77,259.7
810,"ABBA","I Have A Dream",1979,1,"top40",995.48,323.27
811,"Tina Turner","Private Dancer",1984,4,"top40",1105.88,215.56
812,"Jason Mraz","I Won't Give Up",2012,3,"top40",1798.77,217.19
813,"Tori Amos","Winter",1992,0,"",1325.79,259.68
814,"War On Drugs","Under The Pressure",2014,0,"",1850.35,170.25
815,"Marco Borsato","Zij",2002,11,"top40",1562.05,254.84
816,"The Beatles","Get Back",1969,1,"top40",737.17,369.14
817,"Genesis","Jesus He Knows Me",1992,11,"top40",1320.23,268.08
818,"Lenny Kravitz","Let Love Rule",1989,23,"top40",1215.23,319.2
819,"Nick Cave & The Bad Seeds","Into My Arms",1997,0,"",1423.78,328.65
820,"Waylon","Wicked Way",2009,10,"top40",1741.9,152.57
821,"A-Ha","Hunting High And Low",1986,15,"top40",1170.16,288.91
822,"The Beatles","All You Need Is Love",1967,1,"top40",675.34,125.58
823,"Amy Macdonald","This Is The Life",2008,1,"top40",1702.36,165.45
824,"Depeche Mode","Just Can't Get Enough (live)",1985,5,"top40",1153.91,221
825,"Crowded House","Four Seasons In One Day",1992,10,"tip",1325.85,299.02
826,"The Offspring","Self Esteem",1995,4,"top40",1388.17,272.65
827,"The Righteous Brothers","Unchained Melody",1965,1,"top40",622.07,228.16
828,"Andrea Bocelli & Sarah Brightman","Time To Say Goodbye",1997,8,"top40",1446.78,300.36
829,"Muse","Madness",2012,33,"top40",1802.07,227.43
830,"Franz Ferdinand","Take Me Out",2003,14,"tip",1571.12,268.75
831,"Leonard Cohen","Famous Blue Raincoat",1971,0,"",803.02,262.96
832,"Tavares","Heaven Must Be Missing An Angel",1976,1,"top40",897.33,208.19
833,"Charles Aznavour","Yesterday When I Was Young",1970,3,"top40",768.11,170.96
834,"Cyndi Lauper","True Colours",1986,7,"top40",1162.33,295.29
835,"Kansas","Carry On Wayward Son",1977,0,"",947.39,298.98
836,"Radiohead","Fake Plastic Trees",1995,0,"",1370.75,270.74
837,"Sade","Smooth Operator",1984,19,"top40",1107.78,171.62
838,"Eagles","Tequila Sunrise",1973,0,"",820.45,372
839,"De Dijk","Binnen Zonder Kloppen",1985,11,"tip",1157.34,335.86
840,"Billy Joel","New York State Of Mind",1976,0,"",899.33,316.35
841,"Nick & Simon","Pak Maar M'n Hand",2007,12,"top40",1687.85,174.93
842,"Simon & Garfunkel","Scarborough Fair",1966,0,"",641.32,314.55
843,"Bastille","Things We Lost In The Fire",2013,2,"tip",1820.28,201.17
844,"Phil Collins","Can't Stop Loving You",2002,3,"top40",1566.88,218.54
845,"Status Quo","Down Down",1975,2,"top40",886.74,373.26
846,"The Black Eyed Peas","I Gotta Feeling",2009,1,"top40",1738.93,280.67
847,"Michael Jackson","Heal The World",1992,6,"top40",1315.97,175.99
848,"Nickelback","How You Remind Me",2001,7,"top40",1523.81,222.28
849,"Anouk","For Bitter Or Worse",2009,14,"top40",1708.48,258.29
850,"Queen","'39",1975,0,"",897.81,248.57
851,"ABBA","Happy New Year",1980,0,"",1035.24,340.6
852,"Andrea Bocelli","Vivo Per Lei",1996,3,"tip",1416.99,321.34
853,"Coldplay","Everglow",2015,16,"top40",1882.98,227.56
854,"Peter Gabriel","Biko",1980,0,"",1023.97,167.35
855,"Dexy's Midnight Runners","Come On Eileen",1982,4,"top40",1069.36,171.99
856,"David Bowie","The Jean Genie",1973,7,"top40",833.3,251.44
857,"Tears For Fears","Everybody Wants To Rule The World",1985,2,"top40",1160.31,285.94
858,"Joe Cocker","Unchain My Heart",1987,26,"top40",1178.69,304.41
859,"Amy Winehouse","Tears Dry On Their Own",2007,14,"tip",1679.3,226.51
860,"Talking Heads","Once In A Lifetime",1981,28,"top40",1037.83,146.7
861,"Rob de Nijs","Het Werd Zomer",1977,10,"top40",933.26,232.35
862,"Clannad","In A Lifetime",1986,11,"top40",1181.7,328.47
863,"Bee Gees","Massachusetts",1967,1,"top40",674.2,217.57
864,"Kensington","Done With It",2015,19,"top40",1909.35,285.74
865,"Adele","Turning Tables",2011,15,"top40",1783.16,261.61
866,"Daft Punk","One More Time",2000,11,"top40",1494.21,184.11
867,"Queen","I Want It All",1989,2,"top40",1239.11,223.15
868,"Dusty Springfield","Son Of A Preacher Man",1968,6,"top40",699.02,303.36
869,"Simon & Garfunkel","El Condor Pasa",1970,1,"top40",750.46,220.34
870,"Pink Floyd","One Of These Days",1971,0,"",777.14,286.58
871,"Cheap Trick","I Want You To Want Me",1979,1,"top40",981.82,205.29
872,"The Beatles","I Am The Walrus",1967,0,"",660.46,235.76
873,"Guus Meeuwis","Tranen Gelachen",2007,1,"top40",1679.93,269.66
874,"Justin Bieber","Sorry",2015,1,"top40",1884.31,237.62
875,"Train","Drops Of Jupiter (Tell Me)",2001,3,"top40",1530.37,194.17
876,"Doe Maar","Belle Helene",1982,0,"",1061.56,178.85
877,"Marvin Gaye","Sexual Healing",1982,3,"top40",1077.49,273.45
878,"Evanescence","Bring Me To Life",2003,6,"top40",1581.28,220.42
879,"Muse","Undisclosed Desires",2009,4,"tip",1747.85,292.65
880,"Lukas Graham","7 Years",2015,1,"top40",1890.85,221.49
881,"Guns N' Roses","Don't Cry",1991,6,"top40",1271.4,280.47
882,"Linkin Park","Breaking The Habit",2004,19,"top40",1593.32,300.53
883,"Bruce Springsteen","The Rising",2002,40,"top40",1548.16,170.09
884,"Green Day","21 Guns",2009,21,"top40",1738.85,197.5
885,"Keane","Sovereign Light Cafe",2012,2,"tip",1809.74,240.37
886,"The Who","My Generation",1965,5,"top40",621.26,281.5
887,"John Hiatt","Have A Little Faith In Me",1989,11,"top40",1233.05,362.95
888,"Elton John","Candle In The Wind (1997)",1997,1,"top40",1438.54,306.11
889,"Faith No More","Epic",1989,7,"tip",1221.5,267.41
890,"The Cure","Friday I'm In Love",1992,2,"tip",1326.52,244.15
891,"Krezip","Sweet Goodbyes",2009,2,"top40",1748.54,283.05
892,"Duran Duran","Ordinary World",1993,14,"top40",1336.46,170.71
893,"Metallica","The Unforgiven III",2008,0,"",1702.55,311.58
894,"Madness","Baggy Trousers",1980,4,"top40",1020.63,281.52
895,"Marvin Gaye","I Heard It Through The Grapevine",1969,18,"top40",712.94,155.78
896,"Acda En De Munnik","De Kapitein Deel II",2000,24,"top40",1501.76,198.69
897,"The Blues Brothers","Everybody Needs Somebody To Love",1989,6,"top40",1233.13,271.43
898,"Anouk","One Word",2005,4,"top40",1637.46,234.98
899,"Stevie Wonder","I Wish",1977,4,"top40",938.2,200.43
900,"Queen","Breakthru",1989,4,"top40",1238.23,286.66
901,"Chuck Berry","Johnny B. Goode",1958,0,"",468.83,250
902,"Creedence Clearwater Revival","I Heard It Through The Grapevine",1973,13,"top40",841.22,324.77
903,"Tina Turner","The Best",1989,5,"top40",1241.86,321.61
904,"Muse","Time Is Running Out",2004,27,"top40",1607.99,191.2
905,"Sam Smith","Stay With Me",2014,2,"top40",1863.47,294.6
906,"The Smashing Pumpkins","Disarm",2003,0,"",1588.59,162.65
907,"Janis Joplin","Mercedes Benz",1970,0,"",759.17,317.99
908,"Moby","Porcelain",1999,30,"top40",1480.63,310.4
909,"Muse","Mercy",2015,0,"",1892.23,259.91
910,"Aretha Franklin","Think",1968,12,"top40",709.56,127.64
911,"Foo Fighters","Best Of You",2015,0,"",1888.26,246.35
912,"Queen","Tie Your Mother Down",1977,14,"top40",951.28,191.09
913,"Fleetwood Mac","Little Lies",1987,10,"top40",1182.61,228.15
914,"Ed Sheeran","Give Me Love",2012,2,"tip",1793.17,261.91
915,"Seal","Crazy",1991,1,"top40",1290.94,161.15
916,"Bon Jovi","Wanted Dead Or Alive",1987,24,"top40",1185.11,370.43
917,"André Hazes","Zeg Maar Niets Meer",1982,9,"top40",1052.43,251.04
918,"Survivor","Eye Of The Tiger",1982,2,"top40",1080.68,328.33
919,"Derek & The Dominos","Layla",1971,9,"tip",788.61,116.11
920,"The Beatles","Lucy In The Sky With Diamonds",1967,0,"",688.11,309.9
921,"Led Zeppelin","Since I've Been Loving You",1970,0,"",757.8,327.34
922,"Bob Marley & The Wailers","Could You Be Loved",1980,2,"top40",1037.76,210.85
923,"Elvis Presley","I Just Can't Help Believin'",1972,4,"top40",824.56,118.03
924,"The Script","If You Could See Me Now",2013,21,"top40",1811.82,205.65
925,"The Rolling Stones","Fool To Cry",1976,8,"top40",913.97,185.5
926,"Rob de Nijs","Foto Van Vroeger",1980,0,"",1025.76,294.64
927,"Charly Lownoise & Mental Theo","Wonderfull Days",1994,2,"top40",1360.06,205.79
928,"Van Morrison","Moondance",1970,0,"",777.68,295.75
929,"UB40","Kingston Town",1990,1,"top40",1260.41,191.13
930,"Barbra Streisand","Memory",1982,21,"top40",1067.97,245.56
931,"Sniff 'n the Tears","Driver's Seat",1980,1,"top40",996.18,204.1
932,"Nirvana","Heart-Shaped Box",1993,32,"top40",1361.42,256.76
933,"Dire Straits","On Every Street",1992,17,"tip",1320.54,251.62
934,"Nick Cave & Kylie Minogue","Where The Wild Roses Grow",1995,9,"top40",1389.98,257.83
935,"J.J. Cale","After Midnight",1972,0,"",808.82,208.88
936,"Nirvana","About A Girl (MTV Unplugged)",1994,26,"top40",1385.85,214.41
937,"Prince","Diamonds And Pearls",1991,15,"top40",1279.14,220.49
938,"Ilse DeLange","Miracle",2008,1,"top40",1690.38,240.21
939,"Bon Jovi","You Give Love A Bad Name",1986,5,"top40",1163.04,260.03
940,"The Who","Won't Get Fooled Again",1971,11,"top40",797.86,118.02
941,"Bachman Turner Overdrive","You Ain't Seen Nothing Yet",1974,3,"top40",872.2,313.62
942,"Aretha Franklin","I Say A Little Prayer",1968,3,"top40",680.75,180.5
943,"Heart","Crazy On You",1977,2,"top40",932.08,207.12
944,"Christina Aguilera","Hurt",2006,2,"top40",1649.74,248.3
945,"Valensia","Gaia",1993,2,"top40",1348.38,179.57
946,"R.E.M.","The One I Love",1987,13,"tip",1202.05,120.68
947,"The The","Uncertain Smile",1984,31,"top40",1106.15,345.39
948,"Herman van Veen","Hilversum 3",1984,0,"",1119.6,243.51
949,"Mumford & Sons","Lover Of The Light",2012,15,"tip",1809.95,301.78
950,"ABBA","Lay All Your Love On Me",1981,0,"",1039.33,231.96
951,"Otis Redding","I've Got Dreams To Remember",1968,8,"top40",720.52,248.34
952,"Killing Joke","Love Like Blood",1985,8,"top40",1140.62,346.87
953,"James Bay","Let It Go",2015,18,"top40",1875.46,281.43
954,"U2 & B.B. King","When Love Comes To Town",1989,9,"top40",1235.12,327.63
955,"Beth Hart","L.A. Song (Out Of This Town)",1999,31,"top40",1492.94,194.74
956,"Bruce Springsteen","Trapped (live)",1985,0,"",1129.74,158.51
957,"AC/DC","Back In Black",1980,0,"",1035.06,350.26
958,"The Rolling Stones","She's A Rainbow",1967,3,"top40",662.8,272.57
959,"Sam Cooke","Wonderful World",1960,1,"top40",522.46,217.29
960,"Fools Garden","Lemon Tree",1996,10,"top40",1417.55,279.65
961,"David Bowie","Fame",1975,4,"top40",885.59,203.83
962,"Martin Garrix","Animals",2013,3,"top40",1820.32,266.53
963,"Donna Summer","State Of Independence",1982,1,"top40",1065.98,318.52
964,"Red Hot Chili Peppers","Road Trippin'",1999,6,"tip",1494.49,300.03
965,"No Doubt","Don't Speak",1996,1,"top40",1399.74,271.48
966,"Bee Gees","Spicks And Specks",1967,2,"top40",676.99,149.91
967,"Golden Earring","She Flies On Strange Wings",1971,4,"top40",785.42,282.53
968,"Chic","Le Freak",1978,2,"top40",966.18,240.59
969,"Kensington","Do I Ever",2016,14,"top40",1917.63,227.01
970,"Stereophonics","Maybe Tomorrow",2003,17,"top40",1576.91,292.95
971,"Madness","Nightboat To Cairo",1980,21,"top40",1018.57,289.78
972,"Het Goede Doel","Vriendschap",1983,4,"top40",1077.76,317.57
973,"The Cranberries","Linger",1993,0,"",1333.94,293.63
974,"Gerry & The Pacemakers","You'll Never Walk Alone",1963,24,"top40",573.88,264.02
975,"Macklemore & Ryan Lewis","Can't Hold Us",2012,4,"top40",1783.79,282.41
976,"Queen","Bicycle Race",1978,7,"top40",957.03,158.64
977,"Michael Jackson","Human Nature",1983,14,"top40",1075.53,240.53
978,"John Mayer","Waiting On The World To Change",2006,4,"tip",1641.95,243.23
979,"Frank Boeijen Groep","Zwart Wit",1984,4,"top40",1115.2,215.24
980,"Snow Patrol","Shut Your Eyes",2007,14,"top40",1682.76,325.54
981,"Enya","Only Time",2000,0,"",1494.58,341.01
982,"Simply Red","If You Don't Know Me By Now",1989,3,"top40",1224.8,160.93
983,"Michael Jackson","The Way You Make Me Feel",1987,6,"top40",1172.24,258.9
984,"Les Poppys","Non Non Rien N'a Changé",1971,1,"top40",808.84,268.46
985,"Doe Maar","Is Dit Alles",1982,9,"top40",1056.78,295.15
986,"Rowwen Hèze","Auto Vliegtuug",1999,2,"tip",1471.33,250.78
987,"The Hollies","He Ain't Heavy He's My Brother",1969,20,"top40",741.2,182.6
988,"Meat Loaf","Two Out Of Three Ain't Bad",1977,0,"",945.55,198.02
989,"The Rolling Stones","Start Me Up",1981,9,"top40",1045.01,153.01
990,"Paul Simon","50 Ways To Leave Your Lover",1976,14,"tip",908.67,318.19
991,"Red Hot Chili Peppers","By The Way",2002,9,"top40",1559.65,243.79
992,"Emerson Lake & Palmer","Peter Gunn Theme",1980,4,"top40",1024.65,205.16
993,"The Moody Blues","Question",1970,1,"top40",734.7,188.26
994,"John Farnham","You're The Voice",1987,15,"top40",1191.57,229.07
995,"The Jimi Hendrix Experience","Purple Haze",1967,14,"top40",683.48,265.43
996,"Elton John","Nikita",1985,1,"top40",1124.81,294.37
997,"The Beatles","In My Life",1965,0,"",608.99,279.56
998,"Snow Patrol","Just Say Yes",2009,1,"top40",1710.71,219.83
999,"Nena & Kim Wilde","Anyplace, Anywhere, Anytime",2004,1,"top40",1610,283.9
1000,"Muddy Waters","Mannish Boy",1988,8,"top40",1224.06,236.12
1001,"The Rolling Stones","Jumping Jack Flash",1968,2,"top40",680.89,211.55
1002,"De Jeugd Van Tegenwoordig","Watskeburt?!",2005,1,"top40",1618.19,236.79
1003,"Daft Punk","Harder Better Faster Stronger",2001,0,"",1526.43,275.06
1004,"The Rolling Stones","Ruby Tuesday",1967,2,"top40",662.92,323.5
1005,"Michael Bublé","Feeling Good",2004,0,"",1586.36,265.09
1006,"James Bay","Hold Back The River",2014,14,"top40",1849.12,206.04
1007,"The Rolling Stones","Waiting On A Friend",1981,9,"top40",1046.77,210.52
1008,"David Guetta & Sia","Titanium",2011,2,"top40",1760.98,203.18
1009,"Maarten van Roozendaal","Red Mij Niet",2001,0,"",1536.93,241.48
1010,"James Taylor","You've Got A Friend",1971,20,"top40",787.71,309.65
1011,"Peter Gabriel","Sledgehammer",1986,10,"top40",1166.86,172.84
1012,"Joe Cocker","N'oubliez Jamais",1997,6,"tip",1418.52,288.78
1013,"Prodigy","Smack My Bitch Up",1997,19,"top40",1430.8,168.13
1014,"George Harrison","My Sweet Lord",1970,1,"top40",742.93,277.43
1015,"Paul de Leeuw & André Hazes","Droomland",1993,23,"top40",1343.99,293.8
1016,"The Doobie Brothers","Listen To The Music",1972,8,"top40",806.02,200.4
1017,"Bryan Adams","Run To You",1985,14,"top40",1125.28,177.3
1018,"Prodigy","Firestarter",1996,8,"top40",1404.12,202.22
1019,"Shawn Mendes","Stitches",2015,4,"top40",1894.14,271.4
1020,"Jason Mraz","I'm Yours",2008,4,"top40",1689.22,273.44
1021,"The Kinks","Lola (live)",1980,1,"top40",1016.06,162.06
1022,"The Smiths","Bigmouth Strikes Again",1986,26,"top40",1172.54,297.25
1023,"Elton John","Circle Of Life",1994,5,"top40",1350.23,309.56
1024,"The Rolling Stones","Little Red Rooster",1965,4,"top40",624.91,163.48
1025,"Bob Dylan","I Want You",1966,24,"top40",645.68,271.57
1026,"Talking Heads","Road To Nowhere",1985,8,"top40",1151.44,322.09
1027,"Enya","Orinoco Flow",1988,1,"top40",1205.08,249.08
1028,"Fischer-Z","The Worker",1979,20,"top40",981.56,240
1029,"Donna Summer","I Feel Love",1977,1,"top40",937.3,159.83
1030,"Doe Maar","De Bom",1982,1,"top40",1064.45,254.5
1031,"Ten Years After","I'm Going Home",1971,15,"top40",785.7,174.78
1032,"The Trammps","Disco Inferno",1977,6,"tip",942.19,208.81
1033,"Supertramp","Breakfast In America",1979,16,"top40",975.66,150.87
1034,"Jacques Brel","Mijn Vlakke Land",1965,0,"",617.32,219.95
1035,"Neil Young","Harvest",1972,0,"",804.06,236.63
1036,"Rick Astley","Never Gonna Give You Up",1987,1,"top40",1202.71,339.81
1037,"2 Unlimited","No Limit",1993,1,"top40",1358.65,272.94
1038,"Soft Cell","Tainted Love",1981,5,"top40",1044.52,363.56
1039,"Lange Frans & Thé Lau","Zing Voor Me",2010,5,"top40",1747.18,211.7
1040,"Jay-Z & Alicia Keys","Empire State Of Mind",2009,2,"top40",1739.74,331.37
1041,"Roxy Music","Avalon",1982,3,"top40",1061.79,344.46
1042,"The Beatles","Help",1965,1,"top40",616.74,255.65
1043,"The Police","Walking On The Moon",1979,9,"top40",1009.64,189.69
1044,"Lionel Richie","Hello",1984,1,"top40",1129.76,331.16
1045,"Fats Domino","Blueberry Hill",1957,2,"top40",439.96,241.29
1046,"Talk Talk","Life's What You Make It",1985,13,"top40",1147.41,186.33
1047,"Kodaline","All I Want",2012,34,"top40",1795.16,321.47
1048,"REO Speedwagon","Keep On Loving You",1981,13,"top40",1043.18,127.4
1049,"ABBA","Gimme! Gimme! Gimme!",1979,2,"top40",980.15,248.98
1050,"Daft Punk","Around The World",1997,21,"top40",1424.78,313.42
1051,"Bruno Mars","When I Was Your Man",2013,7,"top40",1829.62,278.55
1052,"Depeche Mode","Personal Jesus",1990,14,"tip",1262.58,282.22
1053,"Black Keys","Lonely Boy",2011,0,"",1782.31,220.35
1054,"George Michael","Somebody To Love",1993,5,"top40",1355.25,263.73
1055,"The Cure","Close To Me",1985,21,"top40",1129.31,127.73
1056,"Donna Summer","MacArthur Park",1978,9,"top40",980.6,196.46
1057,"Ramones","Blitzkrieg Bop",1976,0,"",902.73,271.35
1058,"Tears For Fears","Shout!",1985,1,"top40",1133.75,224.87
1059,"Yes","Close To The Edge",1972,0,"",803.05,339.21
1060,"Dolly Parton & Kenny Rogers","Islands In The Stream",1983,4,"top40",1088.79,190.94
1061,"Emeli Sandé","Clown",2012,4,"tip",1812.78,271.22
1062,"Cuby & The Blizzards","Somebody Will Know Someday",1967,0,"",686.61,273.48
1063,"De Dijk","Als Het Golft",2000,8,"tip",1507.37,217.27
1064,"Lenny Kravitz","Are You Gonna Go My Way",1993,6,"top40",1350.4,326.03
1065,"Nielson","Sexy Als Ik Dans",2014,12,"top40",1863.11,233.73
1066,"Phil Collins","I Wish It Would Rain Down",1990,3,"top40",1261.75,125.59
1067,"Coldplay","Every Teardrop Is A Waterfall",2011,4,"top40",1791.94,337.17
1068,"Mike Oldfield feat. Maggie Reilly","Moonlight Shadow",1983,2,"top40",1091.75,348.9
1069,"Coldplay","Speed Of Sound",2005,6,"top40",1626.61,223.56
1070,"The Cure","Boys Don't Cry",1986,37,"top40",1155.39,188.47
1071,"Bryan Adams","Heaven",1985,8,"tip",1134.74,203.81
1072,"Jeroen van Koningsbrugge","Wit Licht",2015,3,"tip",1901.21,320.1
1073,"The Babys","Isn't It Time",1977,4,"top40",960.17,261.95
1074,"Mariah Carey","All I Want For Christmas Is You",1994,5,"top40",1371.95,187.47
1075,"The Hollies","The Air That I Breathe",1974,2,"top40",856.18,370.88
1076,"Led Zeppelin","Dazed And Confused",1969,0,"",737.07,210.81
1077,"Midnight Oil","Beds Are Burning",1988,3,"top40",1208.82,280.98
1078,"Manu Chao","Me Gustas Tu",2000,28,"top40",1512.97,303.13
1079,"Acda En De Munnik","Mooi Liedje",1997,0,"",1448.01,327.24
1080,"Meat Loaf","You Took The Words Right Out Of My Mouth",1979,3,"top40",991.08,315.45
1081,"Drs. P","Dodenrit",1974,26,"top40",856.52,121.69
1082,"James Brown","It's A Man's Man's World",1966,2,"tip",654.36,270.48
1083,"The Doors","Touch Me",1969,21,"top40",733.25,257.89
1084,"De Dijk","Nergens Goed Voor",1989,10,"top40",1230.5,220.35
1085,"Japan","Nightporter",1980,0,"",1017.47,374.5
1086,"Brainbox","Summertime",1969,16,"top40",717.96,323.4
1087,"Yes","Roundabout",1972,23,"top40",814.38,247.12
1088,"Supertramp","Give A Little Bit",1977,2,"top40",935.37,294.88
1089,"Red Hot Chili Peppers","Dark Necessities",2016,35,"top40",1912.71,302.73
1090,"Damien Rice","The Blower's Daughter",2004,0,"",1604.41,276.98
1091,"Guus Meeuwis","De Weg",2005,7,"top40",1612.75,199.08
1092,"Sam Cooke","A Change Is Gonna Come",1964,0,"",593.56,230.12
1093,"Bronski Beat","Smalltown Boy",1984,1,"top40",1101.42,238.02
1094,"The Backstreet Boys","I Want It That Way",1999,1,"top40",1488.89,314.49
1095,"J.J. Cale","Call Me The Breeze",1971,0,"",804.39,124.35
1096,"Adele","Rumour Has It",2011,21,"top40",1767.55,341.16
1097,"Kings Of Leon","Back Down South",2010,12,"tip",1743.34,323.43
1098,"The Doors","Roadhouse Blues",1970,0,"",760.03,176.04
1099,"Justin Timberlake","Mirrors",2013,7,"top40",1815.06,332.86
1100,"Ozzy Osbourne","No More Tears",1992,16,"top40",1300.92,238.06
1101,"Gloria Gaynor","I Will Survive",1979,4,"top40",974.24,243.57
1102,"10CC","The Wall Street Shuffle",1974,1,"top40",884.76,231.59
1103,"Placebo","Pure Morning",1999,0,"",1485.85,297.77
1104,"Anouk","Girl",2004,2,"top40",1617.38,227.97
1105,"Robert Long","Flink Zijn",1977,0,"",950.99,175.91
1106,"Marco Borsato","Speeltuin",1998,10,"top40",1452.21,259.93
1107,"Blink 182","All The Small Things",1999,21,"top40",1482.4,226.56
1108,"Bee Gees","Night Fever",1978,3,"top40",939.73,237.91
1109,"Sting","Shape Of My Heart",1993,0,"",1344.64,199.73
1110,"Black Crowes","Remedy",1992,24,"top40",1307.35,305.98
1111,"Earth & Fire","Storm And Thunder",1971,6,"top40",796.22,333.39
1112,"Cock Robin","The Promise You Made",1986,1,"top40",1171.71,239.76
1113,"Ralph McTell","Streets Of London",1972,9,"top40",843.58,303.64
1114,"ABBA","Take A Chance On Me",1977,2,"top40",927.5,112.95
1115,"Simple Minds","Someone Somewhere (in Summertime)",1982,0,"",1072.53,324.79
1116,"The Cats","Marian",1969,1,"top40",725.28,365.38
1117,"Roxette","Listen To Your Heart",1988,3,"top40",1218.21,155.45
1118,"Stevie Wonder","Isn't She Lovely",1976,0,"",907.16,222.18
1119,"Alanis Morissette","You Oughta Know",1995,11,"top40",1392.02,249.42
1120,"John Denver","Perhaps Love",1981,23,"top40",1049.42,278.9
1121,"Boudewijn de Groot","Het Land Van Maas En Waal",1967,1,"top40",693.17,281.44
1122,"Talk Talk","It's My Life",1984,31,"top40",1101.09,372.69
1123,"Bruce Springsteen","Hungry Heart",1980,8,"tip",1014.24,209.37
1124,"Q65","The Life I Live",1966,5,"top40",635.73,237.66
1125,"Pat Benatar","Love Is A Battlefield",1984,1,"top40",1132.49,181.92
1126,"Normaal","Alie",1977,12,"top40",923.05,134.57
1127,"Bløf","Alles Is Liefde",2007,2,"top40",1675.93,261.4
1128,"Anouk & Douwe Bob","Hold Me",2015,10,"top40",1896.57,251.88
1129,"Celine Dion","My Heart Will Go On",1998,1,"top40",1458.03,277.55
1130,"Gregory Porter","Liquid Spirit",2015,2,"tip",1875.52,301.26
1131,"The Black Eyed Peas","Where Is The Love",2003,1,"top40",1590.69,277.57
1132,"R.E.M.","Shiny Happy People",1991,10,"top40",1273.1,167.2
1133,"Stealers Wheel","Stuck In The Middle With You",1973,12,"top40",832.04,325.11
1134,"Editors","Racing Rats",2007,12,"top40",1670.74,230.09
1135,"The Smashing Pumpkins","1979",1996,38,"top40",1416.17,312.21
1136,"Bee Gees","I Started A Joke",1969,3,"top40",697.08,323.16
1137,"Dotan","Hungry",2015,12,"top40",1875.54,234.66
1138,"Muse","Unintended",2009,0,"",1715.33,185.01
1139,"Frans Halsema & Jenny Arean","Vluchten Kan Niet Meer",1977,19,"top40",953.82,184.08
1140,"Robert Plant","Big Log",1983,4,"top40",1106.98,270.76
1141,"Joe Cocker","You Can Leave Your Hat On",1986,0,"",1180.79,237
1142,"Dire Straits","Why Worry",1985,0,"",1148.26,268.71
1143,"Douwe Bob","Jacob's Song",2016,0,"",1919.94,295.9
1144,"David Bowie","Where Are We Now",2013,28,"top40",1834.07,252.67
1145,"Stromae","Alors On Danse",2010,1,"top40",1752.41,204.56
1146,"Bee Gees","Nights On Broadway",1975,8,"top40",902.92,213.68
1147,"Dolly Parton","I Will Always Love You",1983,2,"top40",1085.95,355.58
1148,"Spice Girls","Wannabe",1996,1,"top40",1412.33,217.94
1149,"Band Aid","Do They Know It's Christmas",1984,1,"top40",1095.27,160.26
1150,"James Brown","Sex Machine",1970,8,"top40",761.89,203.04
1151,"R.E.M.","Drive",1992,15,"top40",1316.8,231.23
1152,"Arctic Monkeys","When The Sun Goes Down",2006,14,"tip",1647.89,236.62
1153,"Keane","Everybody's Changing",2004,18,"top40",1609.5,292.75
1154,"Skunk Anansie","Hedonism",1997,6,"top40",1446.29,253.59
1155,"Iggy Pop & Kate Pierson","Candy",1990,4,"top40",1263.38,330.91
1156,"Chris Rea","Josephine",1985,3,"top40",1138.77,233.84
1157,"Zucchero Fornaciari","Il Volo",1996,15,"top40",1403.26,217.45
